ACPs;cod_mun
BRASILIA;5200258
BRASILIA;5205497
BRASILIA;5212501
BRASILIA;5215231
BRASILIA;5215603
BRASILIA;5217609
BRASILIA;5219753
BRASILIA;5221858
BRASILIA;5300108
GOIANIA;5200050
GOIANIA;5201405
GOIANIA;5201801
GOIANIA;5203559
GOIANIA;5203609
GOIANIA;5204557
GOIANIA;5208707
GOIANIA;5208806
GOIANIA;5209200
GOIANIA;5209705
GOIANIA;5214507
GOIANIA;5215009
GOIANIA;5219738
GOIANIA;5220454
GOIANIA;5221403
CUIABA;5103403
CUIABA;5108402
FLORIANOPOLIS;4200606
FLORIANOPOLIS;4201208
FLORIANOPOLIS;4202305
FLORIANOPOLIS;4205407
FLORIANOPOLIS;4206009
FLORIANOPOLIS;4211900
FLORIANOPOLIS;4212304
FLORIANOPOLIS;4215703
FLORIANOPOLIS;4216602
FLORIANOPOLIS;4217253
CURITIBA;4100400
CURITIBA;4101804
CURITIBA;4102307
CURITIBA;4103107
CURITIBA;4104006
CURITIBA;4104204
CURITIBA;4104253
CURITIBA;4105805
CURITIBA;4106209
CURITIBA;4106902
CURITIBA;4107652
CURITIBA;4111258
CURITIBA;4114302
CURITIBA;4119152
CURITIBA;4119509
CURITIBA;4120804
CURITIBA;4122206
CURITIBA;4125506
SOROCABA;3501152
SOROCABA;3502903
SOROCABA;3545308
SOROCABA;3552205
SOROCABA;3557006
SAO PAULO;3503901
SAO PAULO;3505708
SAO PAULO;3506607
SAO PAULO;3509007
SAO PAULO;3509205
SAO PAULO;3510609
SAO PAULO;3513009
SAO PAULO;3513801
SAO PAULO;3515004
SAO PAULO;3515103
SAO PAULO;3515707
SAO PAULO;3516309
SAO PAULO;3516408
SAO PAULO;3518800
SAO PAULO;3522208
SAO PAULO;3522505
SAO PAULO;3523107
SAO PAULO;3525003
SAO PAULO;3528502
SAO PAULO;3529401
SAO PAULO;3530607
SAO PAULO;3534401
SAO PAULO;3539103
SAO PAULO;3539806
SAO PAULO;3543303
SAO PAULO;3544103
SAO PAULO;3545001
SAO PAULO;3546801
SAO PAULO;3547304
SAO PAULO;3547809
SAO PAULO;3548708
SAO PAULO;3548807
SAO PAULO;3549953
SAO PAULO;3550308
SAO PAULO;3552502
SAO PAULO;3552809
SAO PAULO;3556453
BAIXADA SANTISTA;3513504
BAIXADA SANTISTA;3518701
BAIXADA SANTISTA;3522109
BAIXADA SANTISTA;3531100
BAIXADA SANTISTA;3541000
BAIXADA SANTISTA;3548500
BAIXADA SANTISTA;3551009
CAMPINAS;3509502
CAMPINAS;3512803
CAMPINAS;3519071
CAMPINAS;3531803
CAMPINAS;3536505
CAMPINAS;3552403
CAMPINAS;3556206
CAMPINAS;3556701
RIO DE JANEIRO;3300456
RIO DE JANEIRO;3301702
RIO DE JANEIRO;3301850
RIO DE JANEIRO;3301900
RIO DE JANEIRO;3302007
RIO DE JANEIRO;3302270
RIO DE JANEIRO;3302502
RIO DE JANEIRO;3302601
RIO DE JANEIRO;3302700
RIO DE JANEIRO;3302858
RIO DE JANEIRO;3303203
RIO DE JANEIRO;3303302
RIO DE JANEIRO;3303500
RIO DE JANEIRO;3303609
RIO DE JANEIRO;3304144
RIO DE JANEIRO;3304557
RIO DE JANEIRO;3304904
RIO DE JANEIRO;3305109
RIO DE JANEIRO;3305505
RIO DE JANEIRO;3305554
RIO DE JANEIRO;3305752
VITORIA;3201308
VITORIA;3202207
VITORIA;3205002
VITORIA;3205101
VITORIA;3205200
VITORIA;3205309
BELO HORIZONTE;3106200
BELO HORIZONTE;3106705
BELO HORIZONTE;3109006
BELO HORIZONTE;3110004
BELO HORIZONTE;3117876
BELO HORIZONTE;3118601
BELO HORIZONTE;3124104
BELO HORIZONTE;3129806
BELO HORIZONTE;3130101
BELO HORIZONTE;3136652
BELO HORIZONTE;3137601
BELO HORIZONTE;3140159
BELO HORIZONTE;3144805
BELO HORIZONTE;3149309
BELO HORIZONTE;3153905
BELO HORIZONTE;3154606
BELO HORIZONTE;3154804
BELO HORIZONTE;3156700
BELO HORIZONTE;3157807
BELO HORIZONTE;3162922
BELO HORIZONTE;3162955
BELO HORIZONTE;3165537
BELO HORIZONTE;3171204
SALVADOR;2905701
SALVADOR;2906501
SALVADOR;2910057
SALVADOR;2919207
SALVADOR;2919926
SALVADOR;2921005
SALVADOR;2927408
SALVADOR;2929206
SALVADOR;2929503
SALVADOR;2930709
ARACAJU;2800308
ARACAJU;2800605
ARACAJU;2801504
ARACAJU;2802007
ARACAJU;2802502
ARACAJU;2803609
ARACAJU;2804003
ARACAJU;2804805
ARACAJU;2805901
ARACAJU;2806107
ARACAJU;2806701
ARACAJU;2807204
MACEIO;2700508
MACEIO;2702207
MACEIO;2704302
MACEIO;2704708
MACEIO;2705200
MACEIO;2706448
MACEIO;2707701
MACEIO;2707909
MACEIO;2708907
RECIFE;2600054
RECIFE;2601052
RECIFE;2602902
RECIFE;2603454
RECIFE;2606804
RECIFE;2607208
RECIFE;2607604
RECIFE;2607752
RECIFE;2607901
RECIFE;2609402
RECIFE;2609600
RECIFE;2610608
RECIFE;2610707
RECIFE;2611606
RECIFE;2613701
JOAO PESSOA;2501807
JOAO PESSOA;2503209
JOAO PESSOA;2504603
JOAO PESSOA;2507507
JOAO PESSOA;2508604
JOAO PESSOA;2513703
NATAL;2403251
NATAL;2403608
NATAL;2407104
NATAL;2408102
NATAL;2412005
FORTALEZA;2301000
FORTALEZA;2303709
FORTALEZA;2304285
FORTALEZA;2304400
FORTALEZA;2306256
FORTALEZA;2307650
FORTALEZA;2307700
FORTALEZA;2309706
TERESINA;2112209
TERESINA;2211001
SAO LUIS;2107506
SAO LUIS;2109452
SAO LUIS;2111201
SAO LUIS;2111300
BELEM;1500800
BELEM;1501402
BELEM;1501501
BELEM;1504422
CAMPO GRANDE;5002704
MANAUS;1302603
SAO JOSE DOS CAMPOS;3508504
SAO JOSE DOS CAMPOS;3524402
SAO JOSE DOS CAMPOS;3524907
SAO JOSE DOS CAMPOS;3531704
SAO JOSE DOS CAMPOS;3538006
SAO JOSE DOS CAMPOS;3542305
SAO JOSE DOS CAMPOS;3546009
SAO JOSE DOS CAMPOS;3549904
SAO JOSE DOS CAMPOS;3554102
SAO JOSE DOS CAMPOS;3554805
PORTO ALEGRE;4300604
PORTO ALEGRE;4300877
PORTO ALEGRE;4303103
PORTO ALEGRE;4303905
PORTO ALEGRE;4304606
PORTO ALEGRE;4304689
PORTO ALEGRE;4306403
PORTO ALEGRE;4306767
PORTO ALEGRE;4307609
PORTO ALEGRE;4307708
PORTO ALEGRE;4309050
PORTO ALEGRE;4309209
PORTO ALEGRE;4309308
PORTO ALEGRE;4310801
PORTO ALEGRE;4311627
PORTO ALEGRE;4312476
PORTO ALEGRE;4313060
PORTO ALEGRE;4313375
PORTO ALEGRE;4313409
PORTO ALEGRE;4314423
PORTO ALEGRE;4314803
PORTO ALEGRE;4314902
PORTO ALEGRE;4315149
PORTO ALEGRE;4318481
PORTO ALEGRE;4318705
PORTO ALEGRE;4319505
PORTO ALEGRE;4319901
PORTO ALEGRE;4320008
PORTO ALEGRE;4323002
CATALAO;5205109
CATALAO;5208509
CATALAO;5215504
CATALAO;5221304
INTERNACIONAL DE PEDRO JUAN CABALLERO;5006606
INTERNACIONAL DE CORUMBA;5003207
INTERNACIONAL DE CORUMBA;5005202
INTERNACIONAL DE URUGUAIANA;4322400
TRAMANDAI - OSORIO;4310330
TRAMANDAI - OSORIO;4313508
TRAMANDAI - OSORIO;4321600
TAQUARA - PAROBE - IGREJINHA;4310108
TAQUARA - PAROBE - IGREJINHA;4314050
TAQUARA - PAROBE - IGREJINHA;4321204
TAQUARA - PAROBE - IGREJINHA;4321709
INTERNACIONAL DE SANT'ANA DO LIVRAMENTO;4317103
SANTA MARIA;4310538
SANTA MARIA;4316907
SANTA CRUZ DO SUL;4316808
SANTA CRUZ DO SUL;4322707
PELOTAS;4301073
PELOTAS;4304663
PELOTAS;4314407
LAJEADO;4301008
LAJEADO;4302402
LAJEADO;4306205
LAJEADO;4307807
LAJEADO;4308078
LAJEADO;4308433
LAJEADO;4311403
LAJEADO;4316758
CAXIAS DO SUL;4305108
CAXIAS DO SUL;4307906
CAXIAS DO SUL;4322541
BENTO GONCALVES;4302105
BENTO GONCALVES;4304804
BENTO GONCALVES;4308607
BENTO GONCALVES;4312385
BENTO GONCALVES;4314548
BAGE;4300034
BAGE;4301602
